,code,mean value,country name
0,AUS,0.125,Australia
1,AUT,0.09666666666666668,Austria
2,BEL,0.07866666666666666,Belgium
3,CAN,0.10633333333333334,Canada
4,CZE,0.056666666666666664,Czech Republic
5,DNK,0.0645,Denmark
6,FIN,0.06325,Finland
7,FRA,0.0845,France
8,DEU,0.10350000000000001,Germany
9,GRC,0.122,Greece
10,HUN,0.08866666666666667,Hungary
11,IRL,0.07733333333333332,Ireland
12,ITA,0.1376666666666667,Italy
13,KOR,0.161,South Korea
14,LUX,0.10566666666666667,Luxembourg
15,MEX,0.1625,Mexico
16,NLD,0.08125,Netherlands
17,NZL,0.13,New Zealand
18,NOR,0.08275,Norway
19,POL,0.09433333333333334,Poland
20,PRT,0.11266666666666665,Portugal
21,SVK,0.0775,Slovakia
22,ESP,0.14766666666666664,Spain
23,SWE,0.0895,Sweden
24,CHE,0.10200000000000001,Switzerland
25,TUR,0.147,Turkey
26,GBR,0.11766666666666666,United Kingdom
27,USA,0.16899999999999998,United States
28,EST,0.15666666666666665,Estonia
29,ISR,0.17033333333333334,Israel
30,SVN,0.073,Slovenia
31,JPN,0.157,Japan
32,LVA,0.1665,Latvia
33,LTU,0.15,Lithuania
34,CRI,0.20400000000000001,Costa Rica
35,BGR,0.167,Bulgaria
36,ROU,0.17300000000000001,Romania
37,HRV,0.13133333333333333,Croatia
