,country,amount
0,United States,98
1,Russia,27
2,Ukraine,26
3,South Africa,19
4,Germany,13
5,United Kingdom,13
6,France,12
7,India,11
8,China,10
9,Italy,9
10,Brazil,9
11,Canada,7
12,Colombia,7
13,Spain,5
14,Iran,5
15,Japan,5
16,Mexico,5
17,Australia,5
18,Ecuador,4
19,Turkey,4
20,South Korea,4
21,Belgium,3
22,Indonesia,3
23,Argentina,3
24,Czech Republic,3
25,Peru,2
26,Poland,2
27,Pakistan,2
28,Romania,2
29,Netherlands,2
30,Serbia,2
31,Latvia,2
32,Switzerland,2
33,Hungary,2
34,Costa Rica,2
35,Venezuela,2
36,Bangladesh,2
37,Austria,2
38,Swaziland,1
39,Tajikistan,1
40,Thailand,1
41,Tunisia,1
42,Afghanistan,1
43,Singapore,1
44,Nepal,1
45,Morocco,1
46,Malaysia,1
47,Angola,1
48,Ireland,1
49,Iraq,1
50,Greece,1
51,Egypt,1
52,Denmark,1
53,Cyprus,1
54,Chile,1
55,Belarus,1
56,Yemen,1
